9,382112
279,465493
163,363728
225,414711
218,364951
340,407579
198,423175
20,341580
142,357209
189,419739
63,390484
141,413297
8,315757
357,450920
208,495170
154,441490
302,499349
115,445959
244,492691
158,448388
68,492064
108,345874
178,315526
254,426137
157,403948
304,388548
240,461342
277,424267
73,355020
272,499912
216,441299
34,282571
269,475267
291,418778
112,401271
226,452923
350,451186
268,409679
313,346756
321,402448
299,504246
104,332291
185,359808
132,290441
94,323275
6,210250
311,442458
200,382037
141,359868
281,427026
43,456387
149,392871
93,360478
137,333615
251,474068
178,311148
238,484552
309,437798
139,287668
364,420810
156,368733
4,268841
19,497272
268,460614
356,351788
1,377702
51,407197
359,395445
198,400518
197,388360
207,402188
240,424369
291,383315
219,387134
60,561404
157,362177
291,547916
63,403670
196,472667
196,370619
55,470232
214,368019
53,515675
192,374849
308,440935
181,232343
70,410692
117,496714
159,461493
144,420314
230,495003
320,472229
60,355424
204,424356
286,458225
186,472015
276,391004
297,392009
297,473451
78,380513
31,337332
52,352729
282,443322
344,255518
356,479714
340,530551
199,383083
226,432943
54,322666
269,375754
200,487611
316,436607
94,433820
40,495376
93,400318
10,347282
321,486241
194,335992
22,405547
214,511991
0,339939
78,392801
118,246690
38,325062
330,454444
359,364894
256,377804
341,460505
318,457332
277,378360
354,367390
358,392070
323,489373
279,345577
87,344810
117,234286
102,315049
16,404341
201,341089
23,431042
28,438432
83,477361
7,348267
195,436303
318,412835
319,363836
161,404102
89,485297
183,390084
66,356914
301,508381
106,400429
179,308304
281,399751
269,400950
224,446819
147,439508
286,500070
52,445908
146,446629
49,444745
75,492494
169,373908
249,424608
98,324746
72,416422
35,297411
57,378670
110,433864
173,306637
324,431206
243,516985
46,508043
18,377073
56,392295
165,445222
220,301706
233,424512
243,357575
135,370681
103,293917
254,421347
259,452929
156,369819
139,377925
115,284320
143,372124
183,445743
27,431007
329,459717
280,403899
285,344322
43,372328
301,451262
293,476936
265,468077
306,544363
71,376369
74,513702
296,413949
138,370379
77,456636
188,425774
287,451904
328,373201
150,339751
19,439266
107,377652
