,KnDia,MfImportePropuesta
415,416,3853129.800000001
416,417,34184770.02999999
417,418,6374864.500000001
418,419,5482502.530000002
419,420,134754013.32999974
420,421,5140466.790000002
421,422,35330011.42000001
422,423,5607881.85
423,424,16527287.319999997
424,425,129228981.72999986
425,426,8376021.570000003
426,427,23492671.139999993
427,428,16625946.41
428,429,10163024.540000005
429,430,150675266.93000045
430,431,2686487.8900000006
431,432,42321743.96000002
432,433,2669220.7600000002
433,434,8796998.109999998
434,435,164181253.11000022
435,436,5085742.380000001
436,437,35852684.169999965
437,438,2626742.6700000004
438,439,7044035.32
439,440,104863347.34000008
440,441,4008481.909999999
441,442,58696025.849999994
442,443,2162677.9699999965
443,444,3807826.5299999993
444,445,46268259.17000001
445,446,7404444.200000001
446,447,29871727.25
447,448,10633191.400000002
448,449,421684.3399999999
449,450,176168877.94000015
450,451,30996734.440000016
451,452,42656094.58000002
452,453,8477010.98
453,454,2918733.559999999
454,455,107155104.9799999
455,456,1020609.6000000002
456,457,65730766.68000002
457,458,9186230.760000002
458,459,8461846.799999999
459,460,112364163.96000008
460,461,730273.4299999999
461,462,30699725.48
462,463,5413805.35
463,464,5818491.430000002
464,465,136057630.36999986
465,466,5201958.169999997
466,467,50424052.00999998
467,468,36099583.980000004
468,469,11297766.61
469,470,142876107.21000046
470,471,3583061.149999999
471,472,51032948.830000035
472,473,19900482.549999993
473,474,241225.93000000005
474,475,283662074.94000036
475,476,10833556.170000006
476,477,48219750.18000008
477,478,5059335.0699999975
478,479,106819293.99000004
479,480,125724008.02
480,481,1729515.3199999994
481,482,25887891.550000004
482,483,505613.23000000004
483,484,2759477.2700000005
484,485,117740913.35999998
485,486,1420478.8999999997
486,487,69866508.21000005
487,488,694307.0100000001
488,489,7728802.340000001
489,490,130586074.90999976
490,491,11202564.879999997
491,492,14069404.38000001
492,493,6186438.9799999995
493,494,132212918.58999999
494,495,3723145.06
495,496,34695934.99999997
496,497,11092819.810000002
497,498,6167700.0299999975
498,499,154324538.32999995
499,500,17443702.059999995
500,501,40574569.45999997
501,502,1812104.18
502,503,141225165.09000018
503,504,9653957.259999998
504,505,62068702.66
505,506,3410281.2299999986
506,507,7191496.6
507,508,139597497.09999987
508,509,9604965.930000003
509,510,54449645.36000005
510,511,2660743.9299999997
511,512,7773031.400000002
512,513,150548752.7699999
513,514,8660388.189999994
514,515,60085578.38999999
515,516,6495471.989999998
516,517,7703416.550000002
517,518,5983479.869999998
518,519,223250916.21999985
519,520,14630867.849999998
520,521,9106862.930000003
521,522,114724666.17999993
522,523,10526315.720000004
523,524,96152515.76000004
524,525,3275845.24
525,526,132118082.0700001
526,527,23728301.57
527,528,81332772.43999998
528,529,2946149.3399999985
529,530,67130326.19999996
530,531,7133006.580000002
531,532,105607738.05999993
532,533,170789.11999999997
