,dayofweek,mintemp,maxtemp,rain
74,7,60.1,72.0,0.0
296,3,33.1,54.0,0.11
138,7,71.1,91.9,0.0
77,4,64.0,78.1,0.0
188,6,69.1,84.9,0.0
287,5,28.0,42.1,0.0
328,1,32.0,46.0,0.0
150,4,68.0,81.0,0.0
19,7,48.9,66.0,0.0
107,3,59.0,84.0,0.0
62,1,60.1,78.1,0.0
58,2,41.0,62.1,0.0
196,5,64.4,69.8,0.0
117,7,66.9,84.0,0.0
112,7,75.9,93.0,0.05
15,4,45.0,64.0,0.11
92,6,60.1,66.9,0.0
302,4,24.1,46.9,0.73
133,5,75.9,87.1,0.0
250,2,48.0,68.0,0.0
325,1,21.0,28.9,0.0
266,4,43.0,64.9,0.01
314,6,3.0,27.0,0.0
99,4,59.0,79.0,0.0
108,4,68.0,91.9,0.0
135,5,75.0,88.0,0.02
249,7,44.6,64.0,0.7
69,1,48.0,64.0,0.07
25,7,34.0,48.9,0.7
175,7,66.0,86.0,0.01
274,3,36.0,59.0,0.02
114,3,71.1,95.0,0.0
281,3,21.9,37.9,0.0
55,1,48.0,64.0,0.0
347,1,17.1,41.0,0.0
346,2,28.9,43.0,1.98
194,6,66.0,80.1,0.0
48,5,39.9,66.0,0.0
342,5,7.0,21.0,0.0
30,3,44.1,53.6,0.13
46,1,42.1,59.0,0.0
27,5,37.9,46.9,0.09
242,1,48.0,75.9,0.0
296,5,64.0,78.1,0.0
58,3,51.1,73.0,0.0
341,6,8.1,21.0,0.0
84,7,60.1,77.0,0.0
170,5,73.0,91.0,0.0
84,5,59.0,73.0,0.0
248,2,45.0,61.0,0.0
250,7,39.0,60.1,0.0
294,5,37.0,60.1,0.02
165,1,72.0,93.9,0.18
357,7,34.0,48.0,0.0
337,4,17.1,34.0,0.01
181,5,72.0,91.0,0.65
153,1,75.0,84.0,0.18
16,2,37.0,48.9,0.0
70,4,52.0,68.0,0.35
244,1,46.9,63.0,0.0
85,4,55.0,73.0,0.0
21,5,39.0,61.0,0.0
287,4,27.0,45.0,0.0
107,2,55.0,73.0,0.0
217,5,66.9,84.0,0.02
253,3,41.0,66.0,0.0
77,5,52.0,68.0,0.0
51,3,46.0,60.1,0.0
215,7,64.0,82.9,0.0
275,5,39.0,70.0,0.0
271,2,35.1,50.0,0.11
232,6,55.9,78.1,0.0
264,7,51.1,57.2,0.24
324,2,21.0,28.9,0.1
285,7,28.9,46.9,0.29
351,6,24.1,52.0,0.0
171,4,71.1,86.0,0.0
245,7,46.9,63.0,0.02
121,5,73.0,90.0,0.03
65,3,46.0,59.0,0.0
266,5,37.0,46.0,0.0
257,2,48.0,80.1,0.0
180,6,64.9,89.1,0.71
343,4,7.0,32.0,0.25
216,5,51.1,63.0,0.0
138,2,78.1,98.1,0.01
304,4,36.0,55.9,0.17
334,7,12.9,37.0,0.01
246,4,51.1,75.9,0.0
266,7,37.4,46.9,0.0
222,7,50.0,75.0,0.0
229,2,44.1,68.0,0.0
246,3,44.1,64.0,0.0
125,6,66.0,82.9,0.0
321,5,14.0,36.0,0.18
345,2,25.0,46.0,0.0
245,4,42.1,51.1,0.55
91,4,60.8,66.2,0.04
260,4,51.1,70.0,0.0
234,4,51.1,73.9,0.0
298,7,26.1,55.9,0.0
303,2,19.9,39.0,0.01
362,6,10.9,32.0,0.3
246,6,48.0,59.0,0.0
300,5,16.0,37.0,0.0
365,6,39.0,50.0,0.03
168,5,64.0,81.0,0.01
136,2,77.0,93.0,0.0
333,3,37.9,59.0,0.0
3,2,39.0,62.1,0.02
283,1,35.1,63.0,0.0
294,4,39.0,64.9,0.0
111,6,66.0,81.0,0.52
302,6,27.0,42.1,0.04
5,6,39.9,63.0,0.07
147,5,64.9,88.0,0.0
206,2,57.0,77.0,0.0
335,1,30.0,55.9,0.0
308,4,24.1,33.1,0.0
71,4,48.9,75.9,0.0
155,6,71.1,93.9,0.89
142,2,71.1,87.1,0.0
298,1,35.1,48.0,0.0
306,7,15.1,30.0,0.0
322,5,21.9,39.9,0.0
320,7,9.0,32.0,0.0
44,3,41.0,68.0,0.0
139,5,64.0,86.0,0.15
128,5,71.1,89.1,0.0
118,5,71.1,86.0,0.0
332,4,37.9,57.0,0.0
355,2,30.9,59.0,0.79
113,4,75.2,88.0,0.0
234,2,57.0,82.9,0.0
98,7,59.0,89.1,0.44
26,6,34.0,46.0,0.0
230,1,48.0,73.0,0.0
17,4,39.0,45.0,0.0
260,6,43.0,63.0,0.0
15,3,36.0,48.9,0.0
101,2,59.0,75.9,0.0
127,4,69.1,88.0,0.0
199,1,61.0,79.0,0.0
298,3,37.0,64.0,0.0
251,1,48.0,69.1,0.0
230,6,52.0,73.9,0.0
21,7,30.9,42.1,0.0
317,2,19.0,33.1,0.0
167,6,64.0,80.1,0.0
156,3,75.9,93.9,0.0
273,5,34.0,63.0,0.0
174,1,66.9,81.0,0.41
283,2,24.1,44.1,0.0
119,7,68.0,82.9,0.0
172,1,72.0,89.1,0.0
159,2,75.9,93.9,0.02
32,3,42.1,61.0,0.0
278,6,23.0,60.1,0.0
145,7,69.1,82.0,0.0
106,3,55.0,73.0,0.01
188,1,64.9,86.0,0.0
191,3,72.0,91.9,0.0
109,7,60.8,71.1,0.0
176,3,72.0,93.0,0.18
261,3,46.9,64.9,0.0
56,5,55.0,71.1,0.0
87,1,46.9,71.1,0.98
256,1,50.0,79.0,0.0
37,3,33.1,46.9,0.0
76,1,48.9,73.9,0.0
182,7,68.0,81.0,0.28
277,7,37.9,60.1,0.03
157,2,75.0,89.1,0.05
47,2,43.0,64.0,0.0
239,6,46.9,57.9,0.38
363,6,27.0,42.1,0.0
262,4,42.1,57.9,0.19
275,3,34.0,55.0,0.0
96,6,57.9,77.0,0.15
205,2,62.1,84.9,0.45
337,3,12.9,28.0,0.0
227,1,53.1,70.0,0.0
160,5,73.0,89.1,0.12
95,7,60.1,82.9,0.0
274,6,48.9,79.0,0.0
11,3,23.0,36.0,0.0
15,6,19.0,36.0,0.0
215,6,51.1,75.9,0.0
91,5,54.0,78.1,0.06
182,4,73.0,91.0,0.0
179,3,69.1,89.1,1.08
207,3,68.0,87.1,0.0
208,7,55.9,73.9,0.55
50,6,48.9,63.0,0.0
35,4,33.8,53.1,0.0
53,3,43.0,70.0,0.0
45,2,42.1,68.0,0.0
348,7,17.1,42.1,0.0
42,4,21.9,46.0,0.0
