,dayofweek,mintemp,maxtemp,rain
192,1,64.0,77.0,0.0
128,3,73.0,88.0,0.0
103,7,69.1,84.9,0.0
234,1,55.0,82.0,0.93
130,7,66.9,75.9,0.04
242,7,54.0,69.1,0.0
263,7,48.9,73.9,0.0
167,1,77.0,93.0,0.0
187,6,68.0,86.0,0.0
17,1,35.1,45.0,0.0
303,3,24.1,37.9,0.0
151,7,64.9,86.0,0.34
285,6,39.0,53.1,0.0
123,3,72.0,91.0,0.0
233,2,62.1,82.0,0.02
125,5,70.0,89.1,0.0
207,7,61.0,82.0,0.0
295,6,54.0,78.1,0.04
69,5,51.1,59.0,1.0
189,7,64.9,84.9,0.0
85,6,59.0,77.0,0.0
354,1,17.1,37.0,0.0
213,2,54.0,86.0,1.69
212,3,50.0,57.9,0.47
28,5,46.9,57.2,0.1
181,6,66.9,81.0,0.0
77,7,48.9,66.0,0.0
24,2,39.9,55.0,0.0
33,6,30.9,37.9,0.01
85,3,51.1,72.0,0.0
64,4,46.0,70.0,0.0
306,2,39.0,61.0,0.0
349,6,25.0,42.1,0.0
270,7,39.0,54.0,0.17
38,2,36.0,55.9,0.0
78,3,53.1,75.9,0.03
30,5,50.0,61.0,1.01
169,3,72.0,88.0,0.57
363,5,25.0,33.1,0.01
6,6,54.0,72.0,0.01
36,3,48.9,66.9,0.0
59,1,42.1,48.0,0.17
331,2,30.0,55.0,0.27
348,6,33.1,46.0,0.0
50,3,42.1,64.0,0.0
184,3,64.0,82.0,0.0
225,4,55.0,82.0,0.0
203,5,66.0,91.9,0.0
186,3,69.1,84.0,0.54
175,5,68.0,89.1,0.09
252,7,61.0,78.1,0.14
167,5,68.0,82.9,0.0
123,1,70.0,90.0,0.0
353,1,34.0,55.9,0.45
290,1,30.0,57.9,0.0
237,1,48.9,64.9,0.07
127,6,73.0,91.0,0.01
29,3,35.1,46.0,0.05
100,2,61.0,77.0,0.0
57,3,41.0,69.1,0.0
141,4,71.1,84.9,0.51
288,4,28.9,37.9,0.01
162,6,75.0,98.1,0.0
162,3,66.9,87.1,0.0
316,6,25.0,37.4,0.0
66,1,52.0,68.0,0.0
287,7,37.0,57.0,0.0
228,1,57.0,82.9,0.28
264,6,42.1,73.9,0.0
221,3,55.9,77.0,0.26
325,2,25.9,35.6,0.03
272,6,39.0,63.0,0.0
305,3,39.9,61.0,0.07
72,3,37.0,71.1,0.0
171,2,73.0,89.1,0.0
335,5,14.0,28.9,0.0
292,6,19.0,44.1,0.0
214,3,69.1,86.0,0.0
332,2,19.9,36.0,0.84
166,6,68.0,82.9,0.0
282,3,24.1,44.1,0.0
262,1,48.9,73.9,0.0
347,3,18.0,33.1,0.0
328,6,12.0,39.9,0.0
96,7,60.8,70.0,0.0
59,2,53.1,64.9,0.0
358,3,3.9,36.0,0.24
209,6,54.0,68.0,0.0
142,5,75.9,97.0,0.05
33,2,42.1,53.1,0.0
329,4,25.0,36.0,0.74
146,1,73.9,91.0,0.0
204,6,55.9,78.1,0.0
300,6,15.1,41.0,0.38
107,5,63.0,91.9,0.37
135,2,64.0,82.9,0.01
174,6,68.0,84.0,0.29
173,7,72.0,86.0,0.0
251,5,43.0,62.1,0.0
312,3,36.0,53.1,0.0
133,7,75.0,89.1,0.02
330,6,32.0,57.9,0.31
75,2,55.0,82.9,0.0
333,7,26.1,44.1,0.0
249,3,50.0,68.0,0.19
20,5,30.2,37.0,0.02
353,4,24.1,45.0,0.0
168,4,68.0,88.0,0.93
140,7,75.9,98.1,0.07
102,1,69.1,80.1,0.0
155,3,64.9,84.0,0.0
88,3,62.1,73.0,0.0
228,3,44.1,68.0,0.0
49,5,50.0,60.1,0.23
241,1,54.0,69.1,0.03
301,5,21.2,44.1,0.46
122,2,72.0,91.9,0.08
362,2,21.0,46.9,0.0
89,7,48.2,55.0,1.45
29,6,43.0,57.0,0.05
14,5,48.0,59.0,0.05
250,6,43.0,60.1,0.0
355,6,23.0,34.0,0.0
364,7,34.0,43.0,0.0
348,2,24.1,44.1,0.05
31,2,33.8,46.0,0.0
114,2,64.9,80.1,0.0
154,7,71.1,84.9,0.13
65,5,41.0,57.0,0.0
232,4,57.9,87.1,0.0
73,1,48.0,70.0,0.0
160,1,75.9,99.0,0.0
83,1,54.0,69.1,0.3
224,4,57.0,77.0,0.0
310,5,36.0,61.0,1.48
253,4,50.0,66.9,0.07
235,7,52.0,82.0,0.02
125,1,73.9,89.1,0.0
132,6,71.1,87.1,0.32
86,2,46.9,71.1,0.0
195,5,68.0,88.0,0.0
258,5,32.0,46.9,0.05
351,3,35.1,50.0,0.02
47,7,45.0,59.0,0.0
110,6,63.0,84.0,0.0
361,1,30.9,57.0,0.85
104,6,70.0,87.1,0.0
203,4,61.0,75.0,0.04
124,6,64.0,80.1,0.0
93,5,60.1,71.1,0.0
294,7,41.0,66.0,0.0
151,3,71.1,80.1,0.0
202,6,71.1,91.9,0.0
82,6,54.0,69.1,0.0
137,7,63.0,79.0,0.0
280,5,32.0,57.0,0.05
205,5,55.0,73.9,0.44
346,4,18.0,37.9,0.0
92,3,64.4,73.9,0.0
101,1,57.9,77.0,0.21
131,6,64.0,81.0,1.2
137,1,73.9,91.9,0.0
44,2,35.1,53.1,0.51
163,2,66.9,84.0,0.0
150,1,64.9,75.9,0.12
336,4,12.9,23.0,0.05
128,2,64.9,86.0,0.0
42,7,48.0,66.9,0.0
322,7,10.9,27.0,0.0
273,7,48.9,79.0,0.01
226,5,55.0,71.1,0.0
67,7,51.1,68.0,0.0
58,5,55.9,75.0,0.0
4,7,39.9,55.0,0.0
50,4,50.0,59.0,0.5
263,3,44.1,61.0,0.04
239,4,59.0,81.0,0.0
12,6,33.1,43.0,0.0
288,3,23.0,41.0,0.0
203,7,59.0,90.0,0.0
315,5,15.1,30.9,0.0
244,6,46.9,64.0,0.0
232,3,59.0,82.0,0.0
4,3,34.0,62.1,0.0
202,1,64.0,90.0,0.1
190,4,69.1,91.9,0.07
278,7,33.1,46.0,0.28
0,4,27.0,35.1,0.0
138,6,63.0,79.0,0.0
102,7,55.0,73.9,0.0
166,7,68.0,86.0,0.0
124,2,73.9,91.0,0.0
134,3,64.0,81.0,0.0
262,2,44.1,64.9,0.0
288,6,45.0,64.0,0.04
350,7,34.0,52.0,0.24
327,7,12.0,36.0,0.0
64,3,51.1,72.0,0.0
260,3,44.6,61.0,0.1
171,1,71.1,86.0,0.0
305,1,15.1,30.0,0.0
344,4,25.0,39.9,0.0
24,1,34.0,48.9,1.14
122,1,66.9,91.9,0.0
8,3,42.8,46.4,0.17
327,6,21.9,33.1,0.0
72,5,63.0,86.0,0.0
114,5,72.0,88.0,0.0
11,1,36.0,44.1,0.0
47,6,36.0,48.0,0.2
293,5,19.0,54.0,0.35
1,4,34.0,48.0,0.13
75,7,48.0,64.0,0.0
283,4,50.0,71.1,0.0
149,3,69.8,91.0,0.3
185,4,70.0,87.1,0.07
40,2,37.0,44.1,0.34
113,6,73.0,93.0,0.0
229,7,55.9,75.0,0.01
212,5,62.1,82.9,0.0
273,4,39.0,59.0,0.0
192,4,66.9,89.1,0.0
18,3,35.1,48.0,0.08
153,6,73.9,91.0,1.62
136,4,78.1,91.0,0.13
12,2,25.0,39.9,0.01
74,1,39.0,55.0,0.0
176,4,75.0,89.1,0.0
338,3,19.9,30.0,0.45
